Data ,FasedaLua,LuaEmoji,Signo ,SignoEmoji,tarefas,Check [x],Open [],All,Progresso,EnergiaInput,EnergiaFase,IntençõesLua,IntençõesEstação,IntençõesAno
21/10/2025,Nova,🌑,Libra,⚖️,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,curiosa,"Preparar terreno, plantar intenções, rituais de renovação",,,
29/10/2025,Crescente,🌓,Aquário,🧊,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,social/extrovertida,"Agir sobre a intenção, nutrir projetos e disciplina.",,,
05/11/2025,Cheia,🌕,Touro,🐂,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,poética,"Celebrar, colher frutos, observar resistências emocionais. ",,,
12/11/2025,Minguante,🌗,Leão,🦁,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,analítica,"Desapegar, decantar, peneirar, limpar e estruturar. 
 ",,,
20/11/2025,Nova,🌑,Escorpião,🦂,"[x] escolher influenciadores (os 6 perfis iniciais)
[x] montar lista de 10–20 nomes divididos em 3 grupos
[x] definir os 3 pitchs-base (rascunho, não versão final)
[x] criar os dois formulários simples
[x] observações 
[x] app",6,0,6,🌕🌕🌕🌕🌕🌕🌕🌕  100%,curiosa? observações e notas,"Semeadura: plantar intenções claras, iniciar rituais de renovação. Energia em Escorpião: foco em escorpião (aspectos simbólicos).",,,
28/11/2025,Crescente,🌓,Peixes,🐟,"[x]escrever pitch base para academia, influenciadores e aliados afetivos
[x] priorizar os 9 primeiros contatos 
[x] trocas
[x] cadastro id sus rota
[x] criterios observacoes
[x] começar observações/notas criadores
[x] visuais interativos
[x] mapear transições [x] criar todas
[x] autenticação",10,0,10,🌕🌕🌕🌕🌕🌕🌕🌕  100%,social/extrovertida? pitchs e convites,"Flow emocional, não técnico. sensibilidade é ciência. Crescimento: agir sobre a intenção, nutrir projetos e disciplina.",,,
04/12/2025,Cheia,🌕,Gêmeos,👯,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,"poética? manifesto, roteiro, textos","Culminação: celebrar, colher frutos, observar resistências emocionais. Energia em Gêmeos: foco em gêmeos (aspectos simbólicos).",,,
11/12/2025,Minguante,🌗,Virgem,🌾,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,analítica? sistematização e listas,"Desapegar, decantar, peneirar, estruturar. Aqui é bom ficar em casa, silêncio, mesa, fone. Nada de autocobrança.
Liberação: soltar, limpar, integrar aprendizados.",,,
19/12/2025,Nova,🌑,Sagitário,🏹,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,curiosa? observações e notas,"Semeadura: plantar intenções claras, iniciar rituais de renovação. Energia em Sagitário: foco em sagitário (aspectos simbólicos).",,,
27/12/2025,Crescente,🌓,Áries,🐏,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,social/extrovertida? pitchs e convites,"Crescimento: agir sobre a intenção, nutrir projetos e disciplina.",,,
03/01/2026,Cheia,🌕,Câncer,🦀,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,"poética? manifesto, roteiro, textos",,,,
10/01/2026,Minguante,🌗,Libra,⚖️,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,analítica? sistematização e listas,,,,
18/01/2026,Nova,🌑,Capricórnio,🐐,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,curiosa? observações e notas,,,,
26/01/2026,Crescente,🌓,Touro,🐂,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,social/extrovertida? pitchs e convites,,,,
01/02/2026,Cheia,🌕,Leão,🦁,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,"poética? manifesto, roteiro, textos",,,,
09/02/2026,Minguante,🌗,Escorpião,🦂,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,analítica? sistematização e listas,,,,
17/02/2026,Nova (Eclipse Solar),🌙,Aquário,🧊,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,curiosa? observações e notas,,,,
24/02/2026,Crescente,🌓,Gêmeos,👯,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,social/extrovertida? pitchs e convites,,,,
03/03/2026,Cheia (Eclipse Lunar),🌙,Virgem,🌾,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,"poética? manifesto, roteiro, textos",,,,
11/03/2026,Minguante,🌗,Sagitário,🏹,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,analítica? sistematização e listas,,,,
18/03/2026,Nova,🌑,Peixes,🐟,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,curiosa? observações e notas,,,,
25/03/2026,Crescente,🌓,Câncer,🦀,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,social/extrovertida? pitchs e convites,,,,
01/04/2026,Cheia (Eclipse Lunar),🌙,Libra,⚖️,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,"poética? manifesto, roteiro, textos",,,,
10/04/2026,Minguante,🌗,Capricórnio,🐐,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,analítica? sistematização e listas,,,,
17/04/2026,Nova,🌑,Áries,🐏,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,curiosa? observações e notas,,,,
23/04/2026,Crescente,🌓,Leão,🦁,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,social/extrovertida? pitchs e convites,,,,
01/05/2026,Lua Cheia,🌙,Escorpião,🦂,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,"poética? manifesto, roteiro, textos",,,,
09/05/2026,Minguante,🌗,Aquário,🧊,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,analítica? sistematização e listas,,,,
16/05/2026,Nova,🌑,Touro,🐂,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
23/05/2026,Crescente,🌓,Virgem,🌾,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
31/05/2026,Cheia,🌕,Sagitário,🏹,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
08/06/2026,Minguante,🌗,Peixes,🐟,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
14/06/2026,Nova,🌑,Gêmeos,👯,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
21/06/2026,Crescente,🌓,Libra,⚖️,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
29/06/2026,Cheia,🌕,Capricórnio,🐐,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
07/07/2026,Minguante,🌗,Áries,🐏,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
14/07/2026,Nova,🌑,Câncer,🦀,,,,,🌑🌑🌑🌑🌑🌑🌑🌑  0%,,,,,
